time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2010-01-13T17:36:27.970,40.6505,-124.6865,24.508,3.33,ml,39,235,0.318,0.14,nc,nc71339896,2017-01-21T18:28:14.400,offshore Northern California,earthquake,0.63,2.88,0.254,22,reviewed,nc,nc
2010-01-14T18:43:07.500,40.5868333,-124.7636667,20.187,2.63,md,25,254,0.3432,0.06,nc,nc71340366,2017-01-21T18:40:25.339,offshore Northern California,earthquake,0.49,0.37,0.232,30,reviewed,nc,nc
2010-01-15T07:03:24.750,40.6208333,-124.3761667,13.377,2.62,md,8,218,0.1486,0.05,nc,nc71340591,2017-01-21T18:44:28.370,offshore Northern California,earthquake,1.39,0.68,0.174,43,reviewed,nc,nc
2010-01-16T00:58:55.010,40.6795,-124.749,17.027,2.74,md,10,277,0.3739,0.06,nc,nc71034194,2017-01-21T18:50:39.381,offshore Northern California,earthquake,0.67,0.55,0.397,7,reviewed,nc,nc
2010-01-16T14:09:39.000,40.6473333,-124.636,26.48,2.99,md,17,238,0.2847,0.05,nc,nc71341421,2017-01-21T18:54:17.651,offshore Northern California,earthquake,0.69,1.24,0.177,38,reviewed,nc,nc
2010-01-25T10:39:05.170,40.6265,-124.7016667,23.353,2.94,md,17,276,0.3153,0.22,nc,nc71344116,2017-01-21T19:37:26.238,offshore Northern California,earthquake,1.04,2.46,0.25,19,reviewed,nc,nc
2010-01-29T01:20:09.630,40.431,-126.158,10.1,3,md,13,268.6,,,us,usp000h6r6,2017-01-21T19:57:13.721,off the coast of Northern California,earthquake,,,,,reviewed,nc,nc
2010-02-02T07:41:53.890,40.5168333,-124.837,19.591,2.79,md,34,250,0.3829,0.15,nc,nc71347721,2017-01-21T20:35:12.921,offshore Northern California,earthquake,0.6,0.69,0.142,37,reviewed,nc,nc
2010-02-04T20:20:21.970,40.4123333,-124.9613333,23.048,5.88,mw,41,233,0.4802,0.19,nc,nc71348851,2017-03-17T21:31:07.422,"61km WSW of Ferndale, California",earthquake,1.42,7.41,,7,reviewed,nc,nc
2010-02-04T21:34:16.990,40.4543333,-125.0506667,17.671,2.91,md,31,260,0.5441,0.21,nc,nc71348876,2017-01-21T20:52:26.332,offshore Northern California,earthquake,4.93,7.66,0.162,28,reviewed,nc,nc
2010-02-05T09:32:52.680,40.4636667,-124.9805,15.451,2.7,md,22,290,0.4901,0.24,nc,nc71349101,2017-01-21T20:56:29.537,offshore Northern California,earthquake,2.41,2.86,0.169,23,reviewed,nc,nc
2010-02-05T21:34:05.070,40.3878333,-125.0948333,5.265,2.77,md,25,277,0.5838,0.13,nc,nc71349396,2017-01-21T21:00:22.952,offshore Northern California,earthquake,2.42,6.39,0.168,31,reviewed,nc,nc
2010-02-06T03:32:22.690,40.3746667,-125.0008333,9.021,3.32,ml,70,235,0.5162,0.13,nc,nc71349501,2017-01-21T21:02:06.040,offshore Northern California,earthquake,0.34,0.9,0.264,19,reviewed,nc,nc
2010-02-06T04:05:05.250,40.3723333,-124.968,10.808,3.63,mw,73,234,0.4919,0.15,nc,nc71349506,2017-01-21T21:02:25.010,offshore Northern California,earthquake,0.39,1,,5,reviewed,nc,nc
2010-02-06T06:03:33.170,40.69,-124.5876667,21.56,2.65,md,15,230,0.2874,0.08,nc,nc71349546,2017-01-21T21:03:03.763,offshore Northern California,earthquake,0.51,0.71,0.261,26,reviewed,nc,nc
2010-02-06T18:36:22.710,40.4863333,-124.9688333,15.638,2.58,md,26,268,0.4811,0.23,nc,nc71349836,2017-01-21T21:11:05.992,offshore Northern California,earthquake,1.02,1.16,0.24,27,reviewed,nc,nc
2010-02-07T00:39:35.070,40.4313333,-125.0306667,24.031,2.74,md,19,283,0.5306,0.33,nc,nc71349961,2017-01-21T21:12:47.264,offshore Northern California,earthquake,2.43,19.49,0.269,18,reviewed,nc,nc
2010-02-10T08:00:56.730,40.4691667,-125.1498333,22.035,2.87,md,34,264,0.6189,0.18,nc,nc71351541,2017-01-21T21:37:47.079,offshore Northern California,earthquake,3.48,12.89,0.165,34,reviewed,nc,nc
2010-02-14T08:22:56.270,40.2531667,-124.2433333,25.069,2.64,md,11,123,0.04955,0.07,nc,nc71353621,2017-01-21T22:12:33.420,Northern California,earthquake,0.93,1.15,0.198,31,reviewed,nc,nc
2010-02-16T22:50:17.520,40.329,-127.342,10,2.9,ml,13,284.5,,0.98,us,usp000h7ch,2017-01-21T22:32:29.916,off the coast of Northern California,earthquake,,,,,reviewed,us,us
2010-02-17T04:38:54.280,40.3348333,-124.9091667,13.057,2.53,md,19,256,0.4586,0.29,nc,nc71355271,2017-01-21T22:34:04.032,offshore Northern California,earthquake,1.03,1.92,0.203,21,reviewed,nc,nc
2010-02-17T13:17:42.200,40.2828333,-125.9888333,2.852,2.83,md,18,315,1.275,0.15,nc,nc71355441,2017-01-21T22:36:07.412,off the coast of Northern California,earthquake,8.41,6.14,0.149,28,reviewed,nc,nc
2010-02-22T23:29:04.990,40.3891667,-124.9151667,25.183,2.86,md,30,258,0.7982,0.21,nc,nc71358376,2017-01-21T23:12:34.911,offshore Northern California,earthquake,2.38,13.37,0.21,30,reviewed,nc,nc
2010-02-24T22:56:26.200,40.3963333,-125.4445,14.622,3.12,ml,37,291,0.8477,0.08,nc,nc71354120,2017-01-21T23:27:24.504,offshore Northern California,earthquake,2.74,31.61,0.114,14,reviewed,nc,nc
2010-03-01T11:55:48.590,40.4888333,-124.8456667,0.05,2.55,md,27,263,0.3874,0.35,nc,nc71356495,2017-01-22T00:05:54.495,offshore Northern California,earthquake,3.6,4.46,0.257,29,reviewed,nc,nc
2010-03-04T06:51:19.120,40.3691667,-125.014,12.277,2.85,md,49,259,0.527,0.23,nc,nc71358035,2017-01-22T00:33:07.659,offshore Northern California,earthquake,1.89,1.66,0.189,49,reviewed,nc,nc
2010-03-04T07:43:09.780,40.4716667,-125.546,19.962,2.81,md,17,294,0.9207,0.34,nc,nc71358055,2017-01-22T00:33:26.345,offshore Northern California,earthquake,2.95,31.61,0.121,13,reviewed,nc,nc
2010-03-04T12:22:30.570,40.3878333,-124.9825,8.167,3.9,mw,76,228,0.5,0.16,nc,nc71358185,2017-01-22T00:36:02.580,offshore Northern California,earthquake,0.35,0.6,,4,reviewed,nc,nc
2010-03-05T23:40:58.070,40.6825,-124.5775,22.887,2.76,md,21,230,0.2766,0.05,nc,nc71359120,2017-01-22T00:50:16.800,offshore Northern California,earthquake,0.61,0.8,0.218,38,reviewed,nc,nc
2010-03-06T02:23:12.360,40.6886667,-127.0021667,6.172,2.96,md,17,303,2.039,0.14,nc,nc71359280,2017-01-22T00:51:08.439,off the coast of Northern California,earthquake,8.12,7.76,0.157,19,reviewed,nc,nc
2010-03-06T08:46:23.810,40.3198333,-124.7333333,12.397,4.53,mw,78,237,0.3324,0.12,nc,nc71359410,2017-01-22T00:54:02.920,offshore Northern California,earthquake,0.39,0.42,,4,reviewed,nc,nc
2010-03-06T08:47:37.870,40.32,-124.733,12.543,4.5,mh,6,293,5.654,0.07,ci,ci14597412,2016-03-10T05:53:51.443,"49km SW of Ferndale, CA",earthquake,4.68,31.61,,0,reviewed,ci,ci
2010-03-09T10:36:20.330,40.2886667,-124.403,-0.263,2.77,md,40,224,0.6009,0.2,nc,nc71360785,2017-01-22T01:17:34.000,offshore Northern California,earthquake,1.17,4.51,0.127,42,reviewed,nc,nc
2010-03-14T02:40:59.670,40.3966667,-125.1993333,24.295,2.87,md,33,277,0.6622,0.28,nc,nc71363055,2017-01-22T01:55:24.210,offshore Northern California,earthquake,1.08,16.52,0.146,32,reviewed,nc,nc
2010-03-17T00:05:17.080,40.4485,-125.201,-0.425,3.74,mw,40,249,0.6586,0.24,nc,nc71364405,2017-01-22T02:18:46.610,offshore Northern California,earthquake,3.19,13.78,,3,reviewed,nc,nc
2010-03-18T12:05:23.160,40.6528333,-125.4778333,8.992,3.27,ml,32,294,0.8856,0.21,nc,nc71365085,2017-01-22T02:31:55.617,offshore Northern California,earthquake,6.26,19.07,0.147,12,reviewed,nc,nc
2010-03-18T22:59:02.350,40.4063333,-125.8031667,10.992,2.68,md,17,315,1.12,0.14,nc,nc71365315,2017-01-22T02:35:10.744,off the coast of Northern California,earthquake,8.28,8.89,0.073,17,reviewed,nc,nc
2010-03-19T23:10:39.700,40.5996667,-124.7621667,20.477,3.7,mw,28,247,0.3459,0.08,nc,nc71365775,2017-01-22T02:42:20.010,offshore Northern California,earthquake,0.74,0.55,,3,reviewed,nc,nc
2010-03-23T03:40:55.890,40.311,-124.5341667,20.761,2.76,md,27,244,0.1838,0.26,nc,nc71367275,2017-01-22T03:09:26.842,offshore Northern California,earthquake,2.49,0.62,0.239,50,reviewed,nc,nc
2010-04-09T05:14:10.950,40.593,-124.7611667,21.019,2.72,md,15,254,0.3432,0.08,nc,nc71379666,2017-01-22T05:11:09.504,offshore Northern California,earthquake,0.52,0.63,0.284,14,reviewed,nc,nc
2010-04-12T15:10:04.760,40.3136667,-124.5318333,20.52,3.91,mw,19,259,0.1829,0.27,nc,nc71381091,2017-03-17T21:37:10.389,offshore Northern California,earthquake,2.95,0.8,,4,reviewed,nc,nc
2010-04-12T15:13:03.740,40.3021667,-124.4785,20.761,2.55,md,15,255,0.1414,0.14,nc,nc71381096,2017-01-22T05:34:30.986,offshore Northern California,earthquake,1.45,0.39,0.192,24,reviewed,nc,nc
2010-04-15T08:36:06.630,40.2703333,-125.7648333,29.102,4.52,mw,19,309,1.108,0.25,nc,nc71382461,2017-01-22T05:57:14.530,off the coast of Northern California,earthquake,11.51,14.24,,5,reviewed,nc,nc
2010-04-15T10:10:33.710,40.6336667,-126.6478333,9.622,2.87,md,13,303,1.766,0.25,nc,nc71382486,2017-01-22T05:57:48.056,off the coast of Northern California,earthquake,14.03,31.61,0.157,14,reviewed,nc,nc
2010-04-15T22:31:55.630,40.4855,-124.2708333,24.912,3.24,ml,19,116,0.05135,0.1,nc,nc71382831,2017-01-22T06:02:52.440,Northern California,earthquake,0.45,0.73,0.193,20,reviewed,nc,nc
2010-04-17T04:22:13.020,40.392,-127.205,10,4.5,mb,125,136.1,,1.1,us,usp000hbhd,2017-01-22T06:14:31.227,off the coast of Northern California,earthquake,,,,48,reviewed,us,us
2010-04-17T22:18:47.600,40.4371667,-124.9801667,-0.168,2.65,md,21,267,0.491,0.23,nc,nc71384161,2017-01-22T06:21:05.085,offshore Northern California,earthquake,4.78,8.32,0.307,18,reviewed,nc,nc
2010-04-19T07:56:47.500,40.3691667,-125.4296667,23.408,2.94,md,33,259,0.8396,0.33,nc,nc71385261,2017-01-22T06:32:18.411,offshore Northern California,earthquake,3.11,15.82,0.232,31,reviewed,nc,nc
2010-04-25T04:16:09.830,40.4168333,-125.7303333,2.122,2.69,md,24,297,1.063,0.25,nc,nc71387866,2017-01-22T07:09:24.920,off the coast of Northern California,earthquake,10.77,7.35,0.225,18,reviewed,nc,nc
2010-04-28T10:22:12.130,40.5825,-124.6585,30.149,2.56,md,14,258,0.2667,0.11,nc,nc71389436,2017-01-22T07:34:37.544,offshore Northern California,earthquake,1.25,1.39,0.216,16,reviewed,nc,nc
2010-05-03T17:49:37.430,40.455,-127.054,20,3.4,ml,26,246.4,,,us,usp000hc9c,2017-01-22T08:09:16.707,off the coast of Northern California,earthquake,,,,,reviewed,nc,nc
2010-05-09T12:28:04.380,40.377,-127.302,10,2.7,ml,12,287.9,,0.8,us,usp000hchz,2017-01-22T08:48:35.965,off the coast of Northern California,earthquake,,,,,reviewed,us,us
2010-05-13T22:07:37.060,40.5983333,-124.7268333,22.009,2.78,md,33,250,0.3207,0.12,nc,nc71397646,2017-01-22T09:18:21.069,offshore Northern California,earthquake,0.46,0.92,0.176,43,reviewed,nc,nc
2010-05-15T04:46:32.870,40.6618333,-125.2856667,4.708,2.69,md,38,250,0.745,0.3,nc,nc71398321,2017-01-22T09:27:35.186,offshore Northern California,earthquake,3.6,21.66,0.19,33,reviewed,nc,nc
2010-05-16T14:12:51.720,40.3768333,-124.9551667,2.82,2.97,md,34,246,0.4811,0.25,nc,nc71399166,2017-01-22T09:38:54.117,offshore Northern California,earthquake,2.37,3.72,0.092,7,reviewed,nc,nc
2010-05-19T09:59:27.990,40.4233333,-125.196,0.381,2.73,md,47,250,0.6568,0.39,nc,nc71400936,2017-01-22T09:59:27.812,offshore Northern California,earthquake,3.62,14.25,0.193,40,reviewed,nc,nc
2010-05-20T23:05:19.990,40.4126667,-125.9655,23.492,3.42,ml,53,267,1.242,0.36,nc,nc71401706,2017-01-22T10:10:25.681,off the coast of Northern California,earthquake,3.06,18.41,0.24,15,reviewed,nc,nc
2010-05-24T11:29:24.230,40.331,-124.6271667,19.921,2.51,md,27,242,0.2577,0.2,nc,nc71403481,2017-01-22T10:39:10.760,offshore Northern California,earthquake,0.67,0.54,0.304,36,reviewed,nc,nc
2010-05-24T21:58:33.870,40.431,-125.101,1.19,2.84,md,34,267,0.5838,0.28,nc,nc71403776,2017-01-22T10:41:52.855,offshore Northern California,earthquake,1.47,1.85,0.229,31,reviewed,nc,nc
2010-05-26T18:49:25.770,40.317,-125.4598333,28.578,2.95,ml,10,337,0.8712,0.11,nc,nc71404706,2017-01-22T10:55:55.578,offshore Northern California,earthquake,1.92,31.61,0.186,13,reviewed,nc,nc
